file,focus_ratio,edge_density,contrast_std
desktop_admin.png,3.084,0.043,0.39
desktop_admin_analytics.png,3.174,0.041,0.392
desktop_admin_orders.png,3.346,0.047,0.392
desktop_admin_products.png,3.364,0.046,0.391
desktop_bio-shield.png,4.101,0.04,0.266
desktop_cart.png,3.639,0.015,0.291
desktop_checkout.png,3.52,0.012,0.286
desktop_home.png,5.316,0.05,0.261
desktop_login.png,4.338,0.026,0.303
desktop_mats.png,3.777,0.042,0.388
desktop_portal.png,3.104,0.047,0.389
desktop_store.png,3.986,0.036,0.354
mobile_admin.png,1.442,0.02,0.406
mobile_admin_analytics.png,1.496,0.023,0.405
mobile_admin_orders.png,1.443,0.019,0.407
mobile_admin_products.png,1.446,0.019,0.407
mobile_bio-shield.png,3.924,0.027,0.239
mobile_cart.png,3.91,0.011,0.298
mobile_checkout.png,3.637,0.008,0.285
mobile_home.png,4.721,0.033,0.249
mobile_login.png,4.348,0.022,0.323
mobile_mats.png,3.926,0.029,0.354
mobile_portal.png,1.448,0.021,0.405
mobile_store.png,4.117,0.021,0.285
